name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.0.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000006	0.008343	-0.017510	+0.016916
base_model.model.model.layers.0.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000010	0.001190	-0.003865	+0.003534
base_model.model.model.layers.0.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000354	0.019275	-0.034972	+0.035429
base_model.model.model.layers.0.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000001	0.001225	-0.004339	+0.004104
base_model.model.model.layers.0.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000102	0.019323	-0.035335	+0.036041
base_model.model.model.layers.0.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000004	0.001211	-0.003804	+0.004155
base_model.model.model.layers.0.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000033	0.019282	-0.035624	+0.035774
base_model.model.model.layers.0.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000010	0.001134	-0.003522	+0.003433
base_model.model.model.layers.0.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000218	0.019389	-0.035748	+0.035428
base_model.model.model.layers.0.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000003	0.001190	-0.003703	+0.003494
base_model.model.model.layers.0.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000052	0.019315	-0.036027	+0.036322
base_model.model.model.layers.0.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000031	0.001336	-0.004128	+0.004032
base_model.model.model.layers.0.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000029	0.019378	-0.035629	+0.035745
base_model.model.model.layers.0.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000027	0.001094	-0.003093	+0.003009
base_model.model.model.layers.1.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000037	0.008363	-0.017294	+0.017240
base_model.model.model.layers.1.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000004	0.001228	-0.003655	+0.003710
base_model.model.model.layers.1.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000053	0.019405	-0.034950	+0.035468
base_model.model.model.layers.1.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000006	0.001253	-0.004026	+0.004273
base_model.model.model.layers.1.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000258	0.019277	-0.035332	+0.035350
base_model.model.model.layers.1.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000010	0.001209	-0.004098	+0.003970
base_model.model.model.layers.1.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000047	0.019344	-0.035474	+0.036815
base_model.model.model.layers.1.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000051	0.001145	-0.003438	+0.003574
base_model.model.model.layers.1.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000223	0.019438	-0.035967	+0.035174
base_model.model.model.layers.1.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000003	0.001210	-0.003667	+0.003956
base_model.model.model.layers.1.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000128	0.019251	-0.035339	+0.035541
base_model.model.model.layers.1.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000013	0.001189	-0.003874	+0.003788
base_model.model.model.layers.1.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000056	0.019413	-0.036075	+0.035389
base_model.model.model.layers.1.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000019	0.001167	-0.003545	+0.003208
base_model.model.model.layers.10.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000040	0.008425	-0.017474	+0.017833
base_model.model.model.layers.10.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000009	0.001357	-0.004542	+0.004064
base_model.model.model.layers.10.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000130	0.019402	-0.036180	+0.035670
base_model.model.model.layers.10.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000003	0.001376	-0.004555	+0.004688
base_model.model.model.layers.10.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000127	0.019391	-0.035941	+0.035473
base_model.model.model.layers.10.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000002	0.001344	-0.004523	+0.004277
base_model.model.model.layers.10.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000202	0.019351	-0.036127	+0.035807
base_model.model.model.layers.10.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000015	0.001329	-0.003744	+0.003628
base_model.model.model.layers.10.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000012	0.019434	-0.036404	+0.035354
